 v-sweep         v(gate)         v-sweep         v(drain) -i(vds)
 0.00000000e+00  5.00000000e-01  0.00000000e+00  0.00000000e+00 
 2.00000000e-02  5.00000000e-01  2.00000000e-02  2.00000000e-02 
 4.00000000e-02  5.00000000e-01  4.00000000e-02  4.00000000e-02 
 6.00000000e-02  5.00000000e-01  6.00000000e-02  6.00000000e-02 
 8.00000000e-02  5.00000000e-01  8.00000000e-02  8.00000000e-02 
 1.00000000e-01  5.00000000e-01  1.00000000e-01  1.00000000e-01 
 1.20000000e-01  5.00000000e-01  1.20000000e-01  1.20000000e-01 
 1.40000000e-01  5.00000000e-01  1.40000000e-01  1.40000000e-01 
 1.60000000e-01  5.00000000e-01  1.60000000e-01  1.60000000e-01 
 1.80000000e-01  5.00000000e-01  1.80000000e-01  1.80000000e-01 
 2.00000000e-01  5.00000000e-01  2.00000000e-01  2.00000000e-01 
 2.20000000e-01  5.00000000e-01  2.20000000e-01  2.20000000e-01 
 2.40000000e-01  5.00000000e-01  2.40000000e-01  2.40000000e-01 
 2.60000000e-01  5.00000000e-01  2.60000000e-01  2.60000000e-01 
 2.80000000e-01  5.00000000e-01  2.80000000e-01  2.80000000e-01 
 3.00000000e-01  5.00000000e-01  3.00000000e-01  3.00000000e-01 
 3.20000000e-01  5.00000000e-01  3.20000000e-01  3.20000000e-01 
 3.40000000e-01  5.00000000e-01  3.40000000e-01  3.40000000e-01 
 3.60000000e-01  5.00000000e-01  3.60000000e-01  3.60000000e-01 
 3.80000000e-01  5.00000000e-01  3.80000000e-01  3.80000000e-01 
 4.00000000e-01  5.00000000e-01  4.00000000e-01  4.00000000e-01 
 4.20000000e-01  5.00000000e-01  4.20000000e-01  4.20000000e-01 
 4.40000000e-01  5.00000000e-01  4.40000000e-01  4.40000000e-01 
 4.60000000e-01  5.00000000e-01  4.60000000e-01  4.60000000e-01 
 4.80000000e-01  5.00000000e-01  4.80000000e-01  4.80000000e-01 
 5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01 
 5.20000000e-01  5.00000000e-01  5.20000000e-01  5.20000000e-01 
 5.40000000e-01  5.00000000e-01  5.40000000e-01  5.40000000e-01 
 5.60000000e-01  5.00000000e-01  5.60000000e-01  5.60000000e-01 
 5.80000000e-01  5.00000000e-01  5.80000000e-01  5.80000000e-01 
 6.00000000e-01  5.00000000e-01  6.00000000e-01  6.00000000e-01 
 6.20000000e-01  5.00000000e-01  6.20000000e-01  6.20000000e-01 
 6.40000000e-01  5.00000000e-01  6.40000000e-01  6.40000000e-01 
 6.60000000e-01  5.00000000e-01  6.60000000e-01  6.60000000e-01 
 6.80000000e-01  5.00000000e-01  6.80000000e-01  6.80000000e-01 
 7.00000000e-01  5.00000000e-01  7.00000000e-01  7.00000000e-01 
 7.20000000e-01  5.00000000e-01  7.20000000e-01  7.20000000e-01 
 7.40000000e-01  5.00000000e-01  7.40000000e-01  7.40000000e-01 
 7.60000000e-01  5.00000000e-01  7.60000000e-01  7.60000000e-01 
 7.80000000e-01  5.00000000e-01  7.80000000e-01  7.80000000e-01 
 8.00000000e-01  5.00000000e-01  8.00000000e-01  8.00000000e-01 
 8.20000000e-01  5.00000000e-01  8.20000000e-01  8.20000000e-01 
 8.40000000e-01  5.00000000e-01  8.40000000e-01  8.40000000e-01 
 8.60000000e-01  5.00000000e-01  8.60000000e-01  8.60000000e-01 
 8.80000000e-01  5.00000000e-01  8.80000000e-01  8.80000000e-01 
 9.00000000e-01  5.00000000e-01  9.00000000e-01  9.00000000e-01 
 9.20000000e-01  5.00000000e-01  9.20000000e-01  9.20000000e-01 
